se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se1056, 20.4374, 21.2719, 25.6673, 387.2243, 514.4453, 568.7709, 299.4859, -432.0427, 119.9275,  5.0,  4.0,  0.2,  0.8,  2982,  2075,  63.0, 
se1057, 19.7778, 20.6333, 24.772, 348.462, 463.7743, 511.7669, 265.0553, -385.8942, 112.481,  5.0,  4.0,  0.2,  1.0,  2286,  1635,  33.0, 
se1058, 19.1612, 20.0595, 23.9239, 313.6876, 421.0618, 465.5523, 234.1081, -347.3451, 108.8029,  5.0,  4.0,  0.2,  1.2,  2526,  1747,  42.0, 
se1059, 18.5618, 19.5012, 23.071, 281.9129, 380.8425, 425.4156, 206.1132, -310.2675, 104.6495,  5.0,  4.0,  0.2,  1.4,  2542,  1703,  41.0, 
se1060, 17.9973, 18.9773, 22.2422, 253.8177, 344.2698, 391.9744, 181.5685, -277.6035, 100.8315,  5.0,  4.0,  0.2,  1.6,  2550,  1699,  40.0, 
se1061, 17.4412, 18.4506, 21.4198, 227.7239, 310.5198, 361.2648, 159.587, -248.0497, 96.383,  5.0,  4.0,  0.2,  1.8,  2110,  1399,  25.0, 
se1062, 21.6777, 22.4632, 27.4996, 474.7152, 632.3204, 730.9095, 394.7433, -559.1721, 136.4355,  5.0,  4.0,  0.4,  0.2,  3158,  2267,  71.0, 
se1063, 21.1368, 21.9245, 26.8389, 439.5897, 585.383, 661.8004, 362.2106, -513.9124, 127.9724,  5.0,  4.0,  0.4,  0.4,  3302,  2315,  81.0, 
se1064, 20.5266, 21.3257, 26.0496, 400.5143, 534.6632, 595.5415, 325.5626, -465.7056, 120.0335,  5.0,  4.0,  0.4,  0.6,  3182,  2211,  70.0, 
se1065, 19.8945, 20.7104, 25.2003, 361.9323, 484.6964, 535.5584, 290.6236, -418.686, 113.0043,  5.0,  4.0,  0.4,  0.8,  3118,  2123,  66.0, 
